,KWEA,KWEP,LAGO,PTI,Vegitec,HangarK
89,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
90,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
91,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
92,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
93,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
94,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
95,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
96,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
97,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
98,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
99,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
100,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
101,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
102,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
103,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
104,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
105,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
106,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
107,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
108,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
109,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
110,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
111,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
112,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
113,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
114,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
115,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
116,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
117,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
118,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
119,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
120,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
121,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
122,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
123,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
124,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
125,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
126,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
127,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
128,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
129,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
130,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
131,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
132,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
133,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
134,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
135,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
136,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
137,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
138,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
139,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
140,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
141,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
142,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
143,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
144,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
145,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
146,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
147,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
148,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
149,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
150,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
151,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
152,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
153,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
154,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
155,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
156,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
157,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
158,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
159,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
160,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
161,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
162,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
163,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
164,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
165,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
166,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
167,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
168,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
169,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
170,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
171,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
172,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
173,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
174,0.554562,0.554562,0.21262165,0.554562,0,0.21262165
