,1_Plant1,1_Plant2,1_Plant3,2_Plant1,2_Plant2,2_Plant3,3_Plant1,3_Plant2,3_Plant3,4_Plant1,4_Plant2,4_Plant3,5_Plant1,5_Plant2,5_Plant3,6_Plant1,6_Plant2,6_Plant3,7_Plant1,7_Plant2,7_Plant3
26,697.8039334646123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.0000000001205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,697.7183337728043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.00000000011346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,697.2737676314989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.0000000000645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,696.2901428646373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.00000000013335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,695.8599920765782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.00000000007407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,688.1787499545367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.0000000001011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,697.0059234346006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.000000000069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,700.945661586396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.00000000006577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,704.5883993601635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.00000000007736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,682.0698953958697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.0000000000735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,683.8260697179322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.0000000000669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,656.3621965873325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.0000000001097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,703.6345242333387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.0000000000948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,677.2454656406427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.00000000008885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,706.6400306830774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.00000000008976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,706.8360815901135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.00000000009635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,707.0646589102749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.0000000001274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,707.7224525923328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.0000000001114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,654.9070018266816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.00000000011744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,708.7358424920646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.00000000007554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,655.8010477184508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.00000000009953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,709.6967680645665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.00000000013085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,710.425746085091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.0000000000823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,710.9365829555272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.0000000000771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,711.1547241056024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.0000000000602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,711.2900268442543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.00000000012227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
