BCE,BST1,BSTA,BST5,KWEA,KWEAD,KWEP,KWEPARKING,THEWING,THELEVEL
21.47,10,7.5,41,81,0.43,37,0.23,8.7,14.39
21.39,11,7.5,43,81,0.43,39,0.23,7.8,14.9
21.15,9,10,42,84,0.43,41,0.23,8.65,14.6
21.87,10,7.5,43,82,0.43,39,0.23,8.6,12.79
20.83,11,10,39,83,0.43,76,0.23,8.1,8.97
22.2,11,7.5,40,82,0.43,70,0.23,7.85,12.18
21.31,10,10,41,87,0.43,72,0.23,8.85,7.96
32.81,11,10,39,87,0.43,69,0.23,8.85,6.76
37.79,10,15,40,102,0.43,68,0.23,11.52,12.18
40.85,15,12.5,43,130,0.43,74,0.23,12.87,12.49
47.92,14,12.5,55,136,0.43,73,0.23,13.78,10.88
34.34,24,12.5,45,134,0.43,68,0.23,13.68,17.91
38.52,24,10,51,151,0.43,67,0.23,14.88,22.13
39.72,28,12.5,47,163,0.43,60,0.23,14.73,32.38
41.41,34,12.5,48,207,0.43,65,0.23,13.63,33.39
51.38,28,15,45,235,0.43,63,0.23,11.32,31.28
45.59,27,15,40,247,0.43,57,0.23,10.46,33.39
45.99,27,15,34,257,0.43,54,0.23,9.91,34.49
49.21,29,15,29,272,0.43,46,0.23,11.06,34.09
55.96,41,15,25,270,0.43,38,0.23,11.57,34.49
55.32,31,10,19,250,0.43,40,0.23,12.57,33.49
64.16,32,12.5,13,249,0.43,33,0.23,11.06,36.5
57.89,31,12.5,11,270,0.43,27,0.23,10.16,34.09
63.92,28,12.5,6,275,0.43,25,0.23,10.91,35.8
60.06,26,15,3,273,0.43,25,0.23,10.96,34.7
54.52,25,15,1,279,0.43,19,0.23,12.67,35.5
60.06,25,12.5,0,261,0.43,12,0.23,13.07,37.01
65.45,26,12.5,0,231,0.43,5,0.23,13.78,38.01
62.88,25,10,1,188,0.43,0,0.23,11.62,38.41
57.33,25,17.5,0,175,0.43,0,0.23,10.96,35.9
58.7,39,17.5,0,173,0.43,0,0.23,13.63,36.1
58.13,26,12.5,0,170,0.43,0,0.23,11.27,34.6
60.06,21,17.5,0,164,0.43,0,0.23,10.06,35.6
61.75,22,12.5,0,167,0.43,0,0.23,14.23,37.91
64.73,25,15,0,158,0.43,0,0.23,12.77,37.81
63.44,21,10,0,171,0.43,0,0.23,14.33,36.91
62.15,24,12.5,0,174,0.43,1,0.23,16.89,36.4
61.27,22,10,0,177,0.43,2,0.23,12.62,36.81
60.79,18,12.5,0,182,0.43,0,0.23,11.67,37.51
60.87,21,10,0,199,0.43,0,0.23,11.77,36.1
57.73,17,10,0,167,0.43,5,0.23,12.12,37.81
53.71,16,10,0,158,0.43,1,0.23,12.07,36.61
51.06,16,10,0,154,0.43,2,0.23,12.02,38.82
48.89,16,10,0,153,0.43,1,0.23,16.59,39.12
45.75,16,10,0,161,0.43,0,0.23,21.62,37.81
43.18,13,17.5,0,147,0.43,1,0.23,18.9,39.22
40.77,12,10,0,149,0.43,4,0.23,17.9,38.72
39.8,12,10,0,140,0.43,4,0.23,17.45,36.1
40.13,11,10,0,143,0.43,1,0.23,17.45,29.17
38.76,12,7.5,0,141,0.43,3,0.23,17.5,28.57
38.6,11,7.5,0,111,0.43,10,0.23,17.85,26.15
