Time,1_Plant1,3_Plant1,6_Plant1
388,236.37600000000003,70.1818181818182,70.0
389,253.584,87.6363636363636,70.0
390,270.792,105.09090909090904,70.0
391,288.0,122.54545454545445,70.0
392,270.79200000000014,122.54545454545445,70.0
393,288.0000000000001,139.9999999999999,95.71428571428572
394,270.79200000000014,122.54545454545445,70.0
395,288.0,139.9999999999999,70.0
396,288.0,139.9999999999999,70.0
397,270.792,122.54545454545445,70.0
398,288.0,139.9999999999999,70.0
399,270.79200000000014,122.54545454545445,70.0
400,288.0000000000001,139.9999999999999,70.0
401,288.0000000000001,139.9999999999999,70.0
402,270.79200000000014,122.54545454545445,70.0
403,288.0000000000001,139.9999999999999,70.0
404,270.79200000000014,122.54545454545445,70.0
405,288.0000000000001,139.9999999999999,70.0
406,288.0,139.9999999999999,70.0
407,280.9797310512002,122.54545454545445,70.0
408,288.0000000000001,139.9999999999999,95.71428571428572
409,270.79200000000014,122.54545454545445,70.0
410,253.58400000000017,105.09090909090901,70.0
411,236.3760000000002,87.6363636363636,70.0
412,236.3760000000002,70.1818181818182,70.0
413,253.58400000000017,87.63636363636363,70.0
414,270.79200000000014,105.09090909090904,70.0
415,288.0000000000001,122.54545454545445,70.0
416,288.0000000000001,139.9999999999999,70.0
417,288.0,139.9999999999999,70.0
418,288.0,139.9999999999999,70.0
419,288.0000000000001,139.9999999999999,70.0
420,288.0,139.9999999999999,70.0
421,288.0,139.9999999999999,70.0
422,270.792,122.54545454545445,70.0
423,253.58400000000017,105.09090909090904,70.0
424,270.79200000000014,122.54545454545445,70.0
425,288.0000000000001,139.9999999999999,95.71428571428572
426,288.0,139.9999999999999,70.0
427,270.8598363839997,122.54545454545445,70.0
428,288.0000000000001,132.98209771678503,70.0
429,270.792,122.54545454545445,70.0
430,288.0,139.9999999999999,70.0
431,288.0000000000001,139.9999999999999,95.71428571428572
432,270.79200000000014,122.54545454545445,70.0
433,253.58400000000017,105.09090909090904,70.0
434,236.3760000000002,87.63636363636363,70.0
435,236.37600000000003,87.63636363636363,70.0
436,253.584,105.09090909090904,70.0
437,270.792,122.54545454545445,70.0
438,288.0,139.9999999999999,95.71428571428572
439,270.792,122.54545454545445,70.0
440,288.0,139.9999999999999,70.0
441,270.792,122.54545454545445,70.0
442,288.0,139.9999999999999,70.0
443,270.792,122.54545454545445,70.0
444,270.792,122.54545454545445,70.0
445,288.0,139.9999999999999,70.0
446,288.0,139.9999999999999,70.0
447,288.0,139.9999999999999,70.0
448,288.0000000000001,139.9999999999999,70.0
449,288.0000000000001,139.9999999999999,70.0
450,288.0,139.9999999999999,70.0
451,288.0000000000001,139.9999999999999,70.0
452,288.0000000000001,139.9999999999999,70.0
453,288.0000000000001,139.9999999999999,70.0
454,288.0,139.9999999999999,70.0
455,288.0000000000001,139.9999999999999,70.0
456,288.0000000000001,122.54545454545445,95.71428571428572
457,270.79200000000014,105.09090909090901,70.0
458,253.58400000000017,87.63636363636363,70.0
459,236.3760000000002,70.1818181818182,70.0
460,236.3760000000002,87.6363636363636,70.0
461,253.58400000000017,105.09090909090901,70.0
462,270.79200000000014,122.54545454545445,70.0
463,288.0000000000001,139.9999999999999,95.71428571428572
464,288.0,139.9999999999999,70.0
465,270.792,122.54545454545445,70.0
466,288.0,139.9999999999999,70.0
467,288.0,139.9999999999999,70.0
468,270.792,122.54545454545445,70.0
469,288.0,127.00728707133027,70.0
470,270.79200000000014,109.55274161678483,70.0
471,288.0000000000001,127.00728707133027,70.0
472,288.0000000000001,139.9999999999999,70.0
473,288.0,139.9999999999999,70.0
474,288.0,139.9999999999999,70.0
475,288.0,139.9999999999999,70.0
476,288.0,139.9999999999999,70.0
477,288.0,127.3003668272728,70.0
478,288.0000000000001,139.9999999999999,70.0
479,270.792,122.54545454545445,70.0
480,288.0,139.9999999999999,95.71428571428572
481,270.792,122.54545454545445,70.0
482,253.584,105.09090909090904,70.0
483,236.37600000000003,87.6363636363636,70.0
484,250.8589463111996,70.18181818181819,70.0
485,268.0669463111996,87.6363636363636,70.0
486,285.2749463111996,105.09090909090904,70.0
487,288.0000000000001,122.54545454545445,70.0
488,288.0,139.9999999999999,70.0
489,279.7391195700937,122.54545454545445,70.0
490,262.53111957009367,105.09090909090904,70.0
491,279.73911957009364,122.54545454545445,70.0
492,288.0,139.9999999999999,70.0
493,288.0000000000001,131.2170384090904,70.0
494,288.0,139.9999999999999,70.0
495,288.0,139.9999999999999,70.0
496,288.0,139.9999999999999,70.0
497,288.0,135.93428831818176,70.0
498,270.792,122.54545454545445,70.0
499,288.0,139.9999999999999,70.0
500,270.792,122.54545454545445,70.0
501,288.0,139.9999999999999,70.0
502,288.0000000000001,139.9999999999999,70.0
503,288.0000000000001,139.9999999999999,70.0
504,288.0000000000001,139.9999999999999,95.71428571428572
505,270.79200000000014,122.54545454545445,70.0
506,253.58400000000017,105.09090909090901,70.0
507,236.3760000000002,87.6363636363636,70.0
508,253.58400000000017,105.09090909090904,70.0
509,270.79200000000014,122.54545454545445,70.0
510,288.0000000000001,139.9999999999999,95.71428571428572
511,288.0000000000001,139.9999999999999,70.0
512,288.0,139.9999999999999,95.71428571428572
513,270.792,122.54545454545445,70.0
514,270.79200000000014,105.09090909090904,70.0
515,288.0000000000001,122.54545454545445,70.0
516,270.79200000000014,105.09090909090904,70.0
517,264.2004174960002,87.63636363636363,70.0
518,281.4084174960002,105.09090909090904,70.0
519,287.99999999999994,122.54545454545445,70.0
520,270.792,122.54545454545445,70.0
521,288.0,139.9999999999999,70.0
522,288.0,139.9999999999999,70.0
523,287.99999999999994,139.9999999999999,70.0
524,270.792,122.54545454545445,70.0
525,288.0,139.9999999999999,70.0
526,288.0000000000001,139.9999999999999,70.0
527,288.0,139.9999999999999,70.0
528,288.0000000000001,139.9999999999999,95.71428571428572
529,270.79200000000014,122.54545454545445,70.0
530,253.58400000000017,105.09090909090904,70.0
531,236.37600000000003,87.63636363636363,70.0
532,253.584,105.09090909090901,70.0
533,270.792,122.54545454545445,70.0
534,288.0,139.9999999999999,95.71428571428572
535,270.792,122.54545454545445,70.0
536,288.0,139.9999999999999,70.0
537,288.0,139.9999999999999,70.0
538,270.792,122.54545454545445,70.0
539,288.0,139.9999999999999,70.0
540,288.0,139.9999999999999,70.0
541,270.792,122.54545454545445,70.0
542,287.99999999999994,139.99999999999991,70.0
543,288.0000000000001,132.48459783636363,70.0
544,288.0000000000001,115.0300523818182,70.0
545,288.0000000000001,122.54545454545445,70.0
546,270.79200000000014,105.09090909090904,70.0
547,288.0000000000001,122.54545454545445,70.0
548,288.0,139.9999999999999,95.71428571428572
549,270.792,122.54545454545445,70.0
550,288.0,139.9999999999999,70.0
551,288.0000000000001,122.54545454545445,70.0
552,281.26410706079986,105.09090909090904,70.0
553,264.05610706079983,87.6363636363636,70.0
554,246.84810706079986,70.1818181818182,70.0
555,236.37600000000003,87.63636363636363,70.0
556,253.584,105.09090909090904,70.0
557,270.792,122.54545454545445,70.0
558,288.0,139.9999999999999,95.71428571428572
559,270.792,122.54545454545445,70.0
560,288.0,139.9999999999999,70.0
561,288.0000000000001,139.9999999999999,70.0
562,288.0,139.9999999999999,70.0
563,270.792,122.54545454545445,70.0
564,287.99999999999994,139.9999999999999,70.0
565,270.792,122.54545454545445,70.0
566,253.584,105.09090909090904,70.0
567,270.792,122.54545454545445,70.0
568,288.0000000000001,139.9999999999999,94.49677654642818
569,270.79200000000014,122.54545454545445,70.0
570,288.0000000000001,139.9999999999999,70.0
571,288.0,139.9999999999999,70.0
572,288.0000000000001,139.9999999999999,70.0
573,288.0000000000001,139.9999999999999,70.0
574,288.0000000000001,139.9999999999999,70.0
575,270.792,122.54545454545445,70.0
576,288.0,139.9999999999999,95.71428571428572
577,270.792,122.54545454545445,70.0
578,253.584,105.09090909090904,70.0
579,236.37600000000003,87.6363636363636,70.0
580,253.58400000000017,105.09090909090901,70.0
581,270.79200000000014,122.54545454545445,70.0
582,288.0000000000001,139.9999999999999,95.71428571428572
583,288.0,139.9999999999999,70.0
584,288.0,139.9999999999999,70.0
585,288.0000000000001,139.9999999999999,70.0
586,288.0000000000001,139.9999999999999,70.0
587,288.0,139.9999999999999,70.0
588,288.0,139.9999999999999,95.71428571428572
589,270.792,122.54545454545445,70.0
590,253.584,105.09090909090904,70.0
591,270.792,122.54545454545445,70.0
592,287.99999999999994,139.9999999999999,70.0
593,288.0,139.9999999999999,70.0
594,270.792,122.54545454545445,70.0
595,287.99999999999994,139.9999999999999,70.0
596,270.792,122.54545454545445,70.0
597,288.0,139.9999999999999,70.0
598,288.0,139.9999999999999,70.0
599,288.0,139.9999999999999,95.71428571428572
600,270.792,122.54545454545445,70.0
601,253.584,105.09090909090901,70.0
602,236.37600000000003,87.6363636363636,70.0
603,219.16800000000006,70.18181818181819,70.0
604,236.37600000000003,87.6363636363636,70.0
605,253.584,105.09090909090901,70.0
606,270.792,122.54545454545445,70.0
607,288.0,139.9999999999999,95.71428571428572
608,270.792,122.54545454545445,70.0
609,270.79200000000014,122.54545454545445,70.0
610,288.0000000000001,139.9999999999999,95.71428571428572
611,270.79200000000014,122.54545454545445,70.0
612,288.0000000000001,139.9999999999999,70.0
613,270.79200000000014,122.54545454545445,70.0
614,288.0000000000001,139.9999999999999,70.0
615,270.792,122.54545454545445,70.0
616,288.0,139.9999999999999,70.0
617,288.0,139.9999999999999,70.0
618,288.0000000000001,129.94949309999947,70.0
619,288.0000000000001,139.9999999999999,70.0
620,273.45477803040023,122.54545454545445,70.0
621,288.0000000000001,139.9999999999999,70.0
622,270.792,122.54545454545445,70.0
623,288.0,139.9999999999999,70.0
624,288.0000000000001,139.9999999999999,95.71428571428572
625,270.79200000000014,122.54545454545445,70.0
626,253.58400000000017,105.09090909090904,70.0
627,236.37600000000003,87.63636363636363,70.0
628,253.584,105.09090909090904,70.0
629,270.792,122.54545454545445,70.0
630,288.0,139.9999999999999,95.71428571428572
631,288.0000000000001,139.9999999999999,70.0
632,288.0,139.9999999999999,70.0
633,270.792,122.54545454545445,70.0
634,288.0000000000001,139.9999999999999,70.0
635,288.0,139.9999999999999,70.0
636,288.0000000000001,139.9999999999999,70.0
637,270.79200000000014,122.54545454545445,70.0
638,288.0000000000001,139.9999999999999,70.0
639,288.0,139.9999999999999,70.0
640,270.792,122.54545454545445,70.0
641,288.0,139.9999999999999,70.0
642,288.0000000000001,139.9999999999999,70.0
643,270.79200000000014,122.54545454545445,70.0
644,270.79200000000014,122.54545454545445,70.0
645,288.0000000000001,139.9999999999999,95.71428571428572
646,270.79200000000014,122.54545454545445,70.0
647,288.0000000000001,139.9999999999999,70.0
648,288.0000000000001,139.9999999999999,95.71428571428572
649,270.79200000000014,122.54545454545445,70.0
650,253.58400000000017,105.09090909090904,70.0
651,236.3760000000002,87.63636363636363,70.0
652,236.3760000000002,70.1818181818182,70.0
653,253.58400000000017,87.63636363636363,70.0
654,270.79200000000014,105.09090909090904,70.0
655,288.0000000000001,122.54545454545445,70.0
656,288.0,139.9999999999999,70.0
657,288.0000000000001,139.9999999999999,70.0
658,288.0000000000001,139.9999999999999,70.0
659,288.0000000000001,139.9999999999999,70.0
660,288.0,139.9999999999999,70.0
661,286.6449764807999,122.54545454545445,70.0
662,270.792,122.54545454545445,70.0
663,288.0,139.9999999999999,70.0
664,288.0,139.9999999999999,70.0
665,281.61712454289386,122.54545454545445,70.0
666,264.4091245428939,105.09090909090904,70.0
667,270.792,122.54545454545445,70.0
668,288.0,139.9999999999999,70.0
669,288.0000000000001,139.9999999999999,70.0
670,288.0,139.9999999999999,70.0
671,288.0000000000001,139.9999999999999,70.0
672,288.0000000000001,139.9999999999999,95.71428571428572
673,270.79200000000014,122.54545454545445,70.0
674,253.58400000000017,105.09090909090901,70.0
675,236.3760000000002,87.63636363636363,70.0
676,253.584,105.09090909090901,70.0
677,270.792,122.54545454545445,70.0
678,288.0,139.9999999999999,95.71428571428572
679,270.792,122.54545454545445,70.0
680,253.584,105.09090909090904,70.0
681,270.792,122.54545454545445,70.0
682,288.0,139.9999999999999,70.0
683,270.79200000000014,122.54545454545445,70.0
684,288.0000000000001,139.9999999999999,70.0
685,288.0,139.9999999999999,70.0
686,270.792,122.54545454545445,70.0
687,287.99999999999994,139.9999999999999,70.0
688,270.792,122.54545454545445,70.0
689,288.0,139.9999999999999,70.0
690,288.0000000000001,139.9999999999999,70.0
691,270.792,122.54545454545445,70.0
692,288.0,139.9999999999999,70.0
693,288.0000000000001,139.9999999999999,70.0
694,270.79200000000014,122.54545454545445,70.0
695,288.0000000000001,139.9999999999999,70.0
696,270.79200000000014,122.54545454545445,70.0
697,253.58400000000017,105.09090909090901,70.0
698,237.5509866389363,87.63636363636363,70.0
699,236.3760000000002,87.6363636363636,70.0
700,253.58400000000017,105.09090909090901,70.0
701,270.79200000000014,122.54545454545445,70.0
702,288.0000000000001,139.9999999999999,95.71428571428572
703,288.0000000000001,139.9999999999999,70.0
704,288.0,139.9999999999999,70.0
705,288.0,139.9999999999999,70.0
706,288.0000000000001,139.9999999999999,70.0
707,288.0000000000001,139.9999999999999,70.0
708,288.0000000000001,139.9999999999999,70.0
709,288.0000000000001,139.99999999999991,70.0
710,288.0000000000001,139.9999999999999,70.0
711,288.0000000000001,139.9999999999999,70.0
712,270.79200000000014,122.54545454545445,70.0
713,253.58400000000017,105.09090909090904,70.0
714,236.3760000000002,87.63636363636363,70.0
715,253.58400000000017,105.09090909090904,70.0
716,270.79200000000014,122.54545454545445,70.0
717,288.0000000000001,139.9999999999999,75.843801865653
718,288.0,139.9999999999999,70.0
719,288.0000000000001,139.9999999999999,70.0
720,288.0000000000001,139.9999999999999,95.71428571428572
721,270.79200000000014,122.54545454545445,70.0
722,253.58400000000017,105.09090909090901,70.0
723,236.3760000000002,87.63636363636363,70.0
724,236.37600000000003,87.6363636363636,70.0
725,253.584,105.09090909090901,70.0
726,270.792,122.54545454545445,70.0
727,288.0,139.9999999999999,95.71428571428572
728,270.792,122.54545454545445,70.0
729,287.99999999999994,139.9999999999999,70.0
730,275.29311021120026,122.54545454545445,70.0
731,288.0000000000001,139.9999999999999,70.0
732,270.79200000000014,122.54545454545445,70.0
733,288.0000000000001,139.9999999999999,70.0
734,270.79200000000014,122.54545454545445,70.0
735,270.79200000000014,122.54545454545445,70.0
736,253.58400000000017,105.09090909090904,70.0
737,270.79200000000014,122.54545454545445,70.0
738,288.0000000000001,139.9999999999999,95.71428571428572
739,270.79200000000014,122.54545454545445,70.0
740,288.0000000000001,139.9999999999999,70.0
741,270.792,122.54545454545445,70.0
742,287.99999999999994,139.9999999999999,70.0
743,270.792,122.54545454545445,70.0
744,288.0,139.9999999999999,95.71428571428572
745,270.792,122.54545454545445,70.0
746,253.584,105.09090909090901,70.0
747,236.37600000000003,87.63636363636363,70.0
748,253.58400000000017,100.00916703496668,70.0
749,270.79200000000014,117.46371248951212,70.0
750,288.0000000000001,134.91825794405753,70.0
751,288.0,139.9999999999999,70.0
752,288.0000000000001,139.9999999999999,70.0
753,288.0,139.9999999999999,70.0
754,288.0,139.9999999999999,70.0
755,288.0,139.9999999999999,70.0
756,270.792,122.54545454545445,70.0
757,288.0,139.9999999999999,70.0
758,270.792,122.54545454545445,70.0
759,288.0,139.9999999999999,70.0
760,288.0,139.9999999999999,70.0
761,270.792,122.54545454545445,70.0
762,288.0,139.9999999999999,70.0
763,288.0000000000001,140.0,70.0
764,288.0,139.9999999999999,70.0
765,288.0,139.9999999999999,70.0
766,288.0,139.99999999999991,70.0
767,288.0000000000001,139.9999999999999,70.0
768,288.0,139.9999999999999,70.0
769,270.792,122.54545454545445,70.0
770,288.0000000000001,135.1381909804216,70.0
771,288.0000000000001,117.68364552587619,70.0
772,270.79200000000014,100.22910007133078,70.0
773,265.92956847249417,105.09090909090904,70.0
774,283.13756847249414,122.54545454545445,70.0
775,288.0000000000001,139.9999999999999,95.71428571428572
776,270.79200000000014,122.54545454545445,70.0
777,288.0,139.99999999999991,70.0
778,286.5710469528001,122.5454545454545,70.0
779,288.0,139.99999999999991,95.71428571428572
780,270.792,122.5454545454545,70.0
781,253.584,105.0909090909091,70.0
782,270.79200000000014,122.5454545454545,70.0
783,288.0000000000001,139.99999999999991,95.71428571428572
784,270.79200000000014,122.5454545454545,70.0
