Time,1_Plant1,1_Plant2,1_Plant3,2_Plant1,2_Plant2,2_Plant3,3_Plant1,3_Plant2,3_Plant3,4_Plant1,4_Plant2,4_Plant3,5_Plant1,5_Plant2,5_Plant3,6_Plant1,6_Plant2,6_Plant3,7_Plant1,7_Plant2,7_Plant3
2692,430.20000000000005,5.326660039999938,0.0,115.60000000000001,2.25,17.0,160.08048051894787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,4.236716658463759,0.0,0.0
2693,454.1,0.0,0.0,172.88458944,4.5,34.0,179.28048051894783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,4.236716658463759,0.0,0.0
2694,478.0,0.0,0.0,172.56879613894785,2.25,51.0,198.4804805189478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,29.23671665846376,33.45761495105219,0.0
2695,478.0,50.0,0.0,288.16879613894787,4.5,68.0,207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,54.23671665846376,61.607520300000004,0.0
2696,478.0,100.0,0.0,317.5724455789478,6.75,51.0,207.00000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,33.02228465846376,72.0,0.0
2697,454.1,50.0,0.0,201.97244557894777,4.5,34.0,187.80000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,0.0,0.0,8.02228465846376,0.0,0.0
2698,478.0,0.0,0.0,86.37244557894776,2.25,17.0,207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,15.143778616463877,0.0,0.0
2699,478.0,0.0,0.0,196.29418881494783,4.5,34.0,207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,25.0,50.14075862846376,0.0
2700,454.1,0.0,0.0,121.34122578294773,2.25,17.0,187.80000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0
2701,478.0,50.0,0.0,236.94122578294775,4.5,34.0,207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,25.0,45.77968955846376,0.0
2702,478.0,50.0,0.0,121.82242674894786,2.25,17.0,187.80000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,25.0,35.76534568846375,0.0
2703,454.1,0.0,0.0,6.2224267489478535,0.0,0.0,168.60000000000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0
2704,430.20000000000005,0.0,0.0,0.0,0.0,0.0,149.40000000000012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0
2705,454.1,0.0,0.0,40.6819663269477,0.0,0.0,168.60000000000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,25.0,17.674918068463754,0.0
2706,478.0,0.0,0.0,0.0,0.0,14.926207184947742,187.80000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,47.68208192846376,0.0,0.0
2707,478.0,0.0,0.0,59.12032626494775,2.25,0.0,207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,50.0,11.895997418463764,0.0
2708,478.0,0.0,0.0,59.743234838947686,0.0,17.0,207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,25.0,12.57917920246382,0.0
