Time,1_Plant1,1_Plant2,1_Plant3,2_Plant1,2_Plant2,2_Plant3,3_Plant1,3_Plant2,3_Plant3,4_Plant1,4_Plant2,4_Plant3,5_Plant1,5_Plant2,5_Plant3,6_Plant1,6_Plant2,6_Plant3,7_Plant1,7_Plant2,7_Plant3
15,480.0000000000002,62.5,0.0,327.1612385855796,18.487837850605047,127.5,233.33333333333314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.66666666666667,0.0,0.0,31.25,27.009529110579695,0.0
16,480.0000000000002,0.0,0.0,182.6612385855796,15.675337850605047,106.25,210.2351504825207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.66666666666667,0.0,0.0,0.0,0.0,0.0
17,480.0000000000002,0.0,0.0,255.6141188730797,12.862837850605047,95.97693173749997,233.33333333333314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.66666666666667,0.0,0.0,31.25,49.30940479807981,0.0
18,480.0000000000002,62.5,0.0,400.1141188730797,15.675337850605047,117.22693173749997,233.33333333333314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.66666666666667,0.0,0.0,62.5,61.8052361855797,0.0
19,480.0000000000002,0.0,0.0,460.4262366855797,12.862837850605047,138.47693173749997,233.33333333333314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.66666666666667,0.0,0.0,93.75,32.6090307730797,0.0
20,480.0,62.5,0.0,480.797705773685,11.25,117.22693173749997,233.33333333333314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.66666666666667,0.0,0.0,125.0,8.168984573079712,0.0
21,480.0,0.0,0.0,336.2977057736849,8.4375,95.97693173749997,233.33333333333314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.66666666666667,0.0,0.0,120.25958073557966,0.0,0.0
22,480.0,10.924957225000005,0.0,480.797705773685,11.25,117.22693173749997,233.33333333333314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.66666666666667,0.0,0.0,124.5855114480797,22.203369750000004,0.0
23,480.0,62.5,0.0,625.297705773685,8.4375,106.25,233.33333333333314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.66666666666667,0.0,0.0,93.3355114480797,57.128582125,0.0
24,480.0000000000002,125.0,0.0,558.7209336486848,5.625,127.5,233.33333333333314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.66666666666667,0.0,0.0,62.0855114480797,90.0,0.0
25,451.3200000000003,62.5,0.0,414.22093364868476,2.8125,106.25,204.24242424242408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.66666666666667,0.0,0.0,30.8355114480797,0.0,0.0
26,470.6417704421568,0.0,0.0,269.72093364868476,0.0,85.0,175.15151515151507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.66666666666667,0.0,0.0,0.0,0.0,0.0
27,451.3200000000003,0.0,0.0,249.2042071361847,0.0,106.25,204.23004951282405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.66666666666667,0.0,0.0,0.0,0.0,0.0
28,422.6400000000003,62.5,0.0,393.7042071361847,2.8125,127.5,175.15151515151507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.66666666666667,0.0,0.0,0.0,0.0,0.0
