,Collectief,KWEA,Penta,Vegitec,LAGO,PTI,QUBUS
32,116.2210321,239.2720671,86.55665697,41.66109898,231.6494967,517.4280415,34.62266279
33,103.2496978,212.5671075,76.89613932,37.01133782,226.7468619,459.6783214,30.75845573
34,90.45131899,186.218223,67.3644318,32.42357503,845.7045119,402.6986166,26.94577272
35,74.88571786,154.1722715,55.77181063,26.84386163,476.7812393,333.3989523,22.30872425
36,60.96315241,125.5089482,45.40285503,21.85311799,719.4616644,271.4142526,18.16114201
37,46.78116028,96.31152577,34.84068908,16.76937912,230.423838,208.2745585,13.93627563
38,41.93852017,86.34165638,31.23408938,15.03346519,845.7045119,186.7146245,12.49363575
39,43.06270247,88.6560862,32.07133425,15.43644449,845.7045119,191.7196002,12.8285337
40,49.54836961,102.008566,36.90159307,17.76132507,355.4410267,220.5944603,14.76063723
41,54.13158303,111.4443362,40.31498241,19.40424378,594.4444758,240.9993999,16.12599296
42,54.82338753,112.8686007,40.83021001,19.65223104,226.7468619,244.079385,16.332084
43,51.88321843,106.8154765,38.64049268,18.59828518,718.2360057,230.9894485,15.45619707
44,45.65697798,93.99709592,34.00344421,16.36639982,842.0275357,203.2695827,13.60137768
45,38.39302646,79.04230966,28.59355111,13.76253202,352.9897093,170.9297201,11.43742044
46,41.16024876,84.7393766,30.65446477,14.75448262,226.7468619,183.2496798,12.26178591
47,40.64139539,83.67117822,30.26804406,14.56849217,354.215368,180.9396909,12.10721762
48,0,65.43833761,0,0,720.6873231,77.07373611,0
49,0,65.43833761,0,0,594.4444758,77.07373611,0
50,0,65.43833761,0,0,720.6873231,77.07373611,0
51,0,65.43833761,0,0,232.8751554,77.07373611,0
52,0,65.43833761,0,0,349.3127331,77.07373611,0
53,44.0139423,90.61446771,32.77977865,15.77743007,478.006898,195.9546182,13.11191146
54,45.48402685,93.64102984,33.87463731,16.30440301,231.6494967,202.4995864,13.54985492
55,46.08935579,94.88726129,34.32546147,16.52139186,843.2531944,205.1945734,13.73018459
56,46.08935579,94.88726129,34.32546147,16.52139186,839.5762183,205.1945734,13.73018459
57,46.00288022,94.70922816,34.26105802,16.49039345,478.006898,204.8095753,13.70442321
58,44.96517348,92.57283142,33.48821661,16.11841256,721.9129818,200.1895976,13.39528664
